Registeration Number,Project Name,Type of Project,District
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00577/021117,"MEADOWS PHASE-3 (TOWER - G,H&I)",Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00578/021117,Sapphire Bunglows,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00579/021117,Aamrakunj Avis,Commercial,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/MAA00580/021117,Raama Crest,Mixed Development,Vadodara
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00581/031117,SHREENAND ELITE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00582/031117,Phoenix,Commercial,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/RAA00583/031117,RAAMA ETERNIA,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00584/031117,Atishay Prism,Commercial,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/CAA00585/031117,Raama Icon,Commercial,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00586/031117,Raama Palacio,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/031117,ELYSIUM PHASE-2 (TOWER A & I),Residential/Group Housing,Ahmedabad
PR/GJ/BHARUCH/BHARUCH/Others/RAA00588/031117,SHILPI DREAM,Residential/Group Housing,Bharuch
PR/GJ/BHARUCH/BHARUCH/Others/MAA00589/031117,SUNDARAM RESIDENCY ,Mixed Development,Bharuch
PR/GJ/BHARUCH/BHARUCH/Others/MAA00590/031117,SHARNAM RESIDENCY,Mixed Development,Bharuch
PR/GJ/BHARUCH/BHARUCH/Others/RAA00591/031117,SHILPI RESIDENCY ROW HOUSE,Residential/Group Housing,Bharuch
PR/GJ/BHAVNAGAR/BHAVNAGAR/Others/RAA00592/061117,SHANTIKUNJ ,Residential/Group Housing,Bhavnagar
PR/GJ/BHARUCH/BHARUCH/Others/MAA00593/061117,SENTOSA HEIGHTS,Mixed Development,Bharuch
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00594/061117,SHRINAND FLORA,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00595/061117,AVYUKTA,Residential/Group Housing,Ahmedabad
PR/GJ/RAJKOT/PADDHARI/Others/RAA00596/061117,ARPL BUNGALOWS,Residential/Group Housing,Rajkot
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00597/061117,323 CORPORATE PARK,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00598/061117,ISHWAR MAGNA,Residential/Group Housing,Ahmedabad
PR/GJ/BHAVNAGAR/BHAVNAGAR/Others/MAA00599/061117,SHIVALAY,Mixed Development,Bhavnagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00600/061117,LOTUS RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/BHAVNAGAR/BHAVNAGAR/Others/MAA00601/061117,SUKOON 1,Mixed Development,Bhavnagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/PAA00602/061117,VIVEKANAND PLOTTING,Plotted Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00603/061117,KRISH-RUDRAX PROJECTS,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00604/061117,SHALIGRAM PLUS,Mixed Development,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00605/061117,Ashirvad Textile Market,Commercial,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00606/061117,KESHAV GALAXY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00607/061117,Panchratna,Residential/Group Housing,Ahmedabad
PR/GJ/RAJKOT/RAJKOT/Others/RAA00608/061117,SHILPAN iCON,Residential/Group Housing,Rajkot
PR/GJ/RAJKOT/RAJKOT/Others/RAA00609/061117,SUNDARAM CITY,Residential/Group Housing,Rajkot
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00610/071117,ASHRAY SERENE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00611/071117,"La-marina (Tower-B1, B7, B8)",Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00612/071117,KAHAN,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00613/071117,SATVA GOKUL -1,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00614/071117,SATVA PLATINUM,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00615/071117,VIVEKANAND GARMENT PARK,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00616/071117,SILVER BROOK,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00617/071117,ELITE GREENS,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA00618/071117,48 Fortune,Residential/Group Housing,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00619/071117,Adarsh Gold Industrial Estate,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00620/071117,The Central Park,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00621/071117,Shree Sarju Heights,Mixed Development,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00622/071117,STATUS,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00623/071117,ETERNITY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00624/071117,KARNAVATI PLATINUM K9,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00625/071117,Dwarkesh Fragrance,Mixed Development,Ahmedabad
PR/GJ/RAJKOT/RAJKOT/Others/RAA00626/081117,PALM UNIVERSE,Residential/Group Housing,Rajkot
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00627/081117,Pratham Residency,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00628/081117,Krish Homes - II,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00629/081117,ENTICE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00630/081117,Joyal Gold Heights,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00631/081117,Sky Sol,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00632/081117,Westridge,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00633/081117,SANIDHYA ROYAL,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00634/081117,JAY MANGAL RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00635/081117,AKIBAH HEIGHTS,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00636/081117,SADGURU LANDMARK,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00637/081117,Panchshlok Homes,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00638/081117,Pushp Heights,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00639/081117,PANCHAM KIMBERLY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00640/081117,KRISH ARCADE,Commercial,Ahmedabad
PR/GJ/SURAT/CHORASI/SUDA/CAA00641/081117,Blue Ski Commerce Square,Commercial,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00642/091117,SHABARI VATIKA,Residential/Group Housing,Ahmedabad
PR/GJ/VALSAD/VALSAD/Others/RAA00643/091117,Kanchanganga,Residential/Group Housing,Valsad
PR/GJ/SURAT/SURAT CITY/SUDA/MAA00644/091117,LIFE STYLE & ULTIMATE,Mixed Development,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00645/091117,Shivalik Residences,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00646/091117,SHIVALAY DUPLEX,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00647/091117,SHETH CORPORATE TOWER,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00648/091117,AURUM HEIGHTS,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00649/091117,MADHAV ORCHID,Commercial,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00650/091117,Shreem Square,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00651/091117,SATVA HOMES,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00652/091117,Sahjanand Flora,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA00653/091117,Yash Plaza,Commercial,Gandhinagar
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00654/091117,CELLESTIAL DREAMS,Residential/Group Housing,Surat
PR/GJ/GANDHINAGAR/KALOL/AUDA/RAA00655/091117,Karma Villa,Residential/Group Housing,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00656/091117,CLASSIC LAKE VIEW TOWER,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00657/091117,Shree Lakshminarayan Residency  ,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00658/091117,VRAJ ORIANA,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00659/101117,SHASHWAT MAHADEV  3 ,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00660/101117,VRAJ VILLA,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA00661/101117,SHREE RANG PLAZA-95,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00662/101117,SHALIGRAM PLUSH,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00663/101117,SKYLARK APPARTMENT,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00664/101117,Ratnaakar Beaumonde,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00665/101117,Times Square Arcade - 2,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00666/101117,Sona Akruti,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00667/101117,HARI ICON,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00668/101117,Pebble Bay Phase 2 ,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00669/101117,Classic Highland,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00670/101117,SHIVARTH,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00671/101117,Shree Sarju Kutir,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00672/101117,GARDEN RESIDENCY II,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00673/101117,SHALIGRAM LAKEVIEW,Mixed Development,Gandhinagar
PR/GJ/VADODARA/VADODARA/Others/MAA00674/131117,DARSHANAM AVENUE,Mixed Development,Vadodara
PR/GJ/VALSAD/PARDI/Others/CAA00675/131117,CENTRE BAZZAR,Commercial,Valsad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00676/131117,UNIVERSAL BUSINESS CENTRE ,Commercial,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00677/131117,I SQUARE CORPORATE PARK,Commercial,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00678/131117,Milestone Eternis,Commercial,Surat
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00679/131117,DHARTI SAKET,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00680/131117,Prayosha Paradise,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00681/131117,GOVARDHAN GALAXY II,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA00682/131117,PANCHKUTIR BUNGLOWS,Residential/Group Housing,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00683/131117,PARIVAR HOMES,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00684/131117,NEEL ARCADE AND BUNGLOWS,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00685/131117,The Grand Eastern,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00686/131117,JAY RESIDENCY,Mixed Development,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/RAA00687/131117,Keystone Mansions,Residential/Group Housing,Vadodara
PR/GJ/VALSAD/PARDI/Others/MAA00688/131117,SUNGATE RESIDENCY,Mixed Development,Valsad
PR/GJ/VALSAD/PARDI/Others/MAA00689/131117,FORTUNE FLOWERS,Mixed Development,Valsad
PR/GJ/VADODARA/VADODARA/Others/RAA00690/131117,DARSHANAM SPLENDORA,Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VADODARA/Others/CAA00691/141117,One Indiabulls Vadodara,Commercial,Vadodara
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00692/141117,SAI STATUS TAGORE RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00693/141117,VIVAN 101,Mixed Development,Gandhinagar
PR/GJ/RAJKOT/RAJKOT/Others/RAA00694/141117,DREAM CITY,Residential/Group Housing,Rajkot
PR/GJ/RAJKOT/RAJKOT/Others/RAA00695/141117,DHANANJAY PARADISE,Residential/Group Housing,Rajkot
PR/GJ/VADODARA/VADODARA/Others/RAA00696/141117,NORTHWAY MILLENIUM,Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00697/141117,NORTHWAY THE ADDRESS,Residential/Group Housing,Vadodara
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA00698/141117,SHALIN GALLERIA,Commercial,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00699/141117,PANCHSHIL VEER RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00700/141117,SANIDHYA ARCADE & BUNGLOWS,Mixed Development,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/RAA00701/141117,DARSHANAM 99,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00702/141117,Kalpvruksh regency,Mixed Development,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/RAA00703/141117,Casa Lakeside Phase 1,Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00704/141117,Casa Lakeside Phase 2,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00705/141117,Bansari Apartment,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00706/141117,Blu Eminence,Commercial,Surat
PR/GJ/SURAT/OLPAD/SUDA/MAA00707/151117,SHARANAM,Mixed Development,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00708/151117,Times Square Arcade,Commercial,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00709/151117,EDEN SQUARE,Commercial,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00710/151117,VIIHAAN RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/KALOL/AUDA/MAA00711/151117,Navpad Green,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00712/151117,AVALON PARK - 2,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/KAMREJ/Others/PAA00713/151117,Shiv Bhakti Residency -B,Plotted Development,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00714/151117,INFINITY TOWER,Commercial,Surat
PR/GJ/BHAVNAGAR/BHAVNAGAR/Others/RAA00715/151117,OLIVE,Residential/Group Housing,Bhavnagar
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00716/151117,ROYAL LAKE VIEW ,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00717/151117,Adarsh Crystal Industrial Park,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00718/151117,Abhilasha Square,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00719/151117,Saatatya,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00720/151117,RAJVI STATUS,Mixed Development,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/MAA00721/151117,AGORA CITY CENTRE,Mixed Development,Vadodara
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00722/151117,Sun Heights,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00723/151117,SKD'S SURYA KUTIR,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00724/151117,Indraprasth Homes,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00725/151117,Shivalik Paradise,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00726/151117,STELLAR,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00727/151117,SAMPRATI ELEGANCE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00728/161117,SHILP EPITOME,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00729/161117,VAIBHAV PLATINA,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00730/161117,Arvind Megaestate,Commercial,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA00731/161117,SETU SQUARE,Commercial,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00732/161117,SHOHAM SANIDHYA,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00733/161117,Swapnil Height and Arcade,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00734/161117,GLOBAL BUSINESS PARK,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00735/161117,SILVER RADIANCE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00736/161117,Parimal Green,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00737/161117,Solitaire Sky,Commercial,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00738/161117,FOINAA,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00739/171117,BINORI PRISTINE,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00740/171117,Bagh-e-Fatima Apartment,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00741/171117,Mansarovar Residency,Mixed Development,Gandhinagar
PR/GJ/JAMNAGAR/JAMNAGAR/Others/RAA00742/171117,AARYA BHAGWATI,Residential/Group Housing,Jamnagar
PR/GJ/VALSAD/UMBERGAON/Others/MAA00743/171117,FORTUNE PLUS,Mixed Development,Valsad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00744/171117,SAHJANAND BAUG,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00745/171117,DWARKESH RAW HOUSE DUPLEX,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00746/171117,DHANANJAY ENCLAVE,Residential/Group Housing,Ahmedabad
PR/GJ/BHARUCH/BHARUCH/Others/CAA00747/171117,7X CORRIDOR,Commercial,Bharuch
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00748/171117,Bileshwar Residency,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00749/171117,Dhairya Paradise,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00750/171117,SATVA SHREEJI,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00751/171117,SHAYONA AAGMAN PHASE -  I BLOCK D TO O,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00752/171117,RAJVI RESIDENCY,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00753/171117,Shoolin Arcade,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00754/181117,Sankalp Centre,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00755/181117,Shubh Meritta,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00756/181117,KALATIRTH TOWERS,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00757/181117,Shree Sharanam,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00758/181117,SANGANI UPVAN,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00759/181117,Elite smart Homes,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00760/181117,DUTT RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00761/181117,Shrinand City 4,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00762/181117,Shyam Shree,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00763/181117,Shalin Square,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00764/181117,SHIVAM RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00765/181117,VRUNDAVAN,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/PAA00766/181117,The Park,Plotted Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00767/201117,VERANTES 22,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00768/201117,SHASHWAT,Residential/Group Housing,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/MAA00769/201117,SHREE BALAJI SKYRISE,Mixed Development,Vadodara
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00770/201117,AADITYA HEIGHTS,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00771/201117,WESTERN HEIGHT,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00772/201117,Mahadev Heights,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00773/201117,SHREEDHAR NEST,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00774/201117,SHREE SAKAT VALLEY,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/CAA00775/201117,VEDANT AEON,Commercial,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00776/201117,ROYAL VILLA,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00777/201117,SANKALP INDUSTRIAL PARK,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00778/201117,KRISHNA ESTATE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00779/201117,EMPIRE BUSINESS HUB,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00780/201117,SHIV UGATI CITY,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00781/201117,SHREEJI VILLA,Residential/Group Housing,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00782/211117,EMPIRE DOCTOR HUB,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00783/211117,ABHAY RATNA SHINE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/CAA00784/211117,AAROHI VERVE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00785/211117,SHREENATH IND PARK,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/KALOL/AUDA/MAA00786/211117,AJAY AVENUE,Mixed Development,Gandhinagar
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA00787/211117,WTC GIFT Tower C,Commercial,Gandhinagar
