Registeration Number,Project Name,Type of Project,District
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00427/131017,Swati Florence,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00428/131017,Indraprasth Gulmohar,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00429/131017,Shrinand City 10,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00430/131017,KARNAVATI ENCLAVE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00431/131017,AKASH PARISAR,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00432/131017,Emerald Apartment,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00433/131017,AKSHARDEEP,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00434/131017,V-3 CORNER,Commercial,Surat
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00435/131017,AATREY TULIPS,Residential/Group Housing,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00436/131017,AATREY RUDRA BUSINESS HUB,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00437/131017,Royale Jardine,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/KALOL/AUDA/RAA00438/131017,EWS Housing ,Residential/Group Housing,Gandhinagar
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00439/131017,EWS Aawas ,Mixed Development,Gandhinagar
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00440/131017,SAMANVAY RESIDENCY,Mixed Development,Gandhinagar
PR/GJ/GANDHINAGAR/DEHGAM/AUDA/MAA00441/131017,EWS Aawas,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00442/141017,Vrindavan F to J,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00443/141017,KARNAVATI PREMIER LIVING,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00444/141017,Sudama Homes 2,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00445/141017,NORTH PLAZA,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00446/141017,Ramvilla Appts & Raw House Duplex,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00447/141017,MAGNOLIA RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/RAJKOT/RAJKOT/Others/MAA00448/141017,PMAY EWS- II,Mixed Development,Rajkot
PR/GJ/RAJKOT/RAJKOT/Others/MAA00449/141017,PMAY EWS- I,Mixed Development,Rajkot
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00450/141017,RIVIERA GREENS ROW HOUSE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00451/141017,Nirman Rejoice,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00452/141017,GANESH IMPERIAL,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00453/141017,SHAIVAL IMPERIA,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00454/141017,KALPVRIKSH,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/KALOL/AUDA/RAA00455/141017,SUPER CITY PHASE 2  DREAM,Residential/Group Housing,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00456/141017,Unique Aashiyana,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00457/141017,ROYAL ELEGANCE,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/PAA00458/161017,Shiv Dhara Residency,Plotted Development,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00459/161017,SAUNDARYA PALACE,Residential/Group Housing,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00460/161017,D R INDIA TEXTILE HUB,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/MAA00461/161017,SUNDAY RESIDENCY Phase 3,Mixed Development,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00462/161017,SUNDAY HUB,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00463/161017,VIKAS DHARA HOME,Residential/Group Housing,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00464/161017,SUNDAY LAGOON,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00465/161017,BINORI BSQUARE2,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00466/161017,TULSI RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00467/161017,SITARAM INDUSTRIAL HUB,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/SANAND/AUDA/MAA00468/161017,KRUPAL BACHPAN,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00469/161017,PATRON,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00470/161017,Aarav Arise,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00471/161017,SHYAMVED SAPPHIRE,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00472/161017,SHREEHARI NIVAS,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00473/161017,SHREE RAM HOMES,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00474/161017,CITY CENTER-II,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00475/161017,Aamrakunj Gracia,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00476/161017,STANZA,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00477/161017,SAKET TEXTILE MARKET,Commercial,Surat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00478/161017,SHIVALIK SHILP II,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00479/171017,Ganesh Glory,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00480/171017,SAVVY STUDIOZ,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00481/171017,HIR ASHA ARCADE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00482/171017,APPLEWOODS VILLAS,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00483/171017,PARIJAT,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00484/171017,SHUBHAM INDUSTRIAL PARK,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00485/171017,Swagat Bunglows,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00486/171017,AAGAM APARTMENTS,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00487/171017,Satyam Bungalows,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00488/171017,Sahyog Residency,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00489/171017,Sahajanand Avenue,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00490/171017,DIWALI ELEGANCE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00491/171017,AAROHI ELYSIUM,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00492/171017,SHILP APERIA,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00493/171017,SAVVY SWARAAJ PRAGATI PH-2C,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00494/171017,SAMYAK GALAXY,Mixed Development,Ahmedabad
PR/GJ/RAJKOT/RAJKOT/Others/RAA00495/181017,Gol Trio,Residential/Group Housing,Rajkot
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00496/181017,Star Heights,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00497/181017,SAVVY SWARAAJ PRAGATI PH-2-2A,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00498/181017,SAVVY SWARAAJ PRAGATI PH-2B,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/KAMREJ/SUDA/MAA00499/181017,TORAL RESIDENCY,Mixed Development,Surat
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00500/181017,Signature Pride,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00501/181017,Indraprasth Business Park,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00502/181017,ELYSIUM ARISE,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA00503/181017,CAPITOL FLORA  AND CAPITOL ICON 2,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00504/181017,SARAL RESIDENCY,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00505/181017,JALDEEP  ICON,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00506/181017,ANUSTHAN HOMES,Residential/Group Housing,Gandhinagar
PR/GJ/GANDHINAGAR/KALOL/AUDA/RAA00507/181017,SUPER CITY PHASE 2 HONOUR,Residential/Group Housing,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00508/181017,SHUBHALAY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00509/181017,SARAL HEIGHTS,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00510/181017,Unique Aashiyana Phase-1,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00511/231017,SHRADDHA INDUSTRIAL PARK-2,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00512/231017,Maple Greens Residency,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00513/231017,Skydeck Select,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00514/231017,Sparsh Arcade,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00515/231017,Ganesh Genesis,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00516/231017,Alok Heights,Residential/Group Housing,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/RAA00517/231017,Mangla Majesty,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/DASKROI/AUDA/CAA00518/231017,DARSHAN INDUSTRIAL PARK,Commercial,Ahmedabad
PR/GJ/KHEDA/MEHMEDABAD/AUDA/MAA00519/231017,Krishna Park,Mixed Development,Kheda
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00520/241017,SIVANTA ONE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00521/241017,Aries Heights,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00522/241017,ALEEZA PARK & BUSINESS CENTER,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA00523/251017,VINAYAK LIFESTYLE,Residential/Group Housing,Gandhinagar
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00524/251017,Shrim Leela,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00525/251017,OMKAR LOTUS,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00526/251017,SUPAN SOLITAIRE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00527/251017,Purple Patch,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00528/251017,JALDEEP VERTEX,Residential/Group Housing,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/RAA00529/251017,"Mangla Greens (Tower No. A-7 to A-13, B-8, 9, 20, 21)",Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VADODARA/Others/MAA00530/251017,"Mangla Marvel (Tower No. A-1 to A-5, Shop No. 1 to 40)",Mixed Development,Vadodara
